Problem,Paper_LB,Paper_UB,Paper_Best,Paper_Avg,My_GA_Best,My_GA_Avg,CI_Lower,CI_Upper,Avg_Time(s),Init_20_Best,Init_20_Avg
Mk01,36,42,40,40.0,42,42.0,42.0,42.0,0.44,42,55.45
Mk02,24,32,26,26.0,28,28.4,27.97,28.83,1.39,36,44.5
Mk03,204,211,204,204.0,204,204.0,204.0,204.0,0.83,206,244.5
Mk04,48,81,60,60.0,66,67.4,66.21,68.59,0.79,81,95.1
Mk05,168,186,173,173.0,178,180.0,178.76,181.24,2.85,190,212.95
Mk06,33,86,58,58.0,66,68.0,66.43,69.57,3.35,91,105.25
Mk07,133,157,144,145.0,144,147.2,145.17,149.23,2.39,168,201.9
Mk08,523,523,523,523.0,523,524.6,523.29,525.91,1.6,540,566.1
Mk09,299,369,307,307.0,311,313.4,310.76,316.04,9.28,366,413.2
Mk10,165,296,198,199.0,231,235.0,231.91,238.09,8.81,292,335.65
